"ISBN","title","author","publisher","category","original-language","country-of-origin","summary-of-content","summary-of-reviews"
"978-3498001229","Herkunft","Saša Stanišić","Luchterhand Literaturverlag","Autofiction","German","Germany/Bosnia and Herzegovina","A novel that is part memoir, part fiction, where the author reflects on his family's experience of fleeing the Bosnian War, his youth in Germany, and the complexities of identity, memory, and belonging.","Winner of the 2019 German Book Prize, it was lauded for its playful and inventive narrative style, its humor, and its poignant exploration of the themes of home and identity. Critics admired Stanišić's ability to weave together personal history with broader reflections on language and memory."
"978-8806240950","Il colibrì","Sandro Veronesi","La Nave di Teseo","Fiction","Italian","Italy","The novel tells the story of Marco Carrera, nicknamed 'the hummingbird,' a man who remains seemingly still while the world around him is in constant turmoil. It explores themes of love, loss, resilience, and the passage of time through a non-linear narrative.","Winner of the 2020 Premio Strega, it was praised for its emotional depth, its intricate structure, and its profound portrayal of a human life. Critics highlighted Veronesi's masterful storytelling and the memorable protagonist. The non-chronological narrative was seen as both a strength and a challenge."
"978-1787331575","The Testaments","Margaret Atwood","Chatto & Windus","Dystopian Fiction","English","Canada","A sequel to 'The Handmaid's Tale,' this novel is set 15 years after the events of the first book and is narrated by three female characters: Aunt Lydia, a young woman in Gilead, and a young woman in Canada.","Joint winner of the 2019 Booker Prize, it was highly anticipated and generally well-received for expanding the world of Gilead. Critics praised its suspenseful plot and the new perspectives it offered. Some reviewers felt it didn't quite live up to the standard of the original, but most found it a compelling and timely read. (Note: While Atwood is Canadian, her work has significant popularity and impact in Europe)."
"978-0857526245","The Mirror and the Light","Hilary Mantel","4th Estate","Historical Fiction","English","United Kingdom","The final novel in the Wolf Hall trilogy, it chronicles the last years of Thomas Cromwell, from the execution of Anne Boleyn to his own fall from grace and execution.","Widely acclaimed as a masterpiece and a fitting conclusion to the trilogy. Mantel's immersive prose, her intricate portrayal of Tudor politics, and the depth of her characterization of Cromwell were universally praised. It was longlisted for the Booker Prize and hailed as a monumental work of historical fiction."
"978-1787330899","Actress","Anne Enright","Jonathan Cape","Fiction","English","Ireland","The novel explores the life of a legendary Irish theatre actress, Katherine O'Dell, through the eyes of her daughter, Norah. It delves into the complexities of fame, motherhood, and Irish identity.","Praised for Enright's sharp and insightful prose, its complex characters, and its nuanced exploration of the mother-daughter relationship. Critics admired its wit and its observations on the nature of performance and identity. Some found the narrative a bit fragmented, but the overall reception was strong."
"978-1529022124","The Marriage Portrait","Maggie O'Farrell","Tinder Press","Historical Fiction","English","United Kingdom (Northern Ireland)","Set in Renaissance Italy, this novel tells the story of Lucrezia de' Medici, who is forced into a marriage with the Duke of Ferrara at a young age and must navigate the treacherous politics of the court.","Praised for its vivid historical detail, suspenseful plot, and the compelling portrayal of its young protagonist. O'Farrell's evocative writing and her ability to bring the past to life were highlighted by critics. It was seen as another masterful work of historical fiction from the author of 'Hamnet'."
"978-1529157502","Lessons in Chemistry","Bonnie Garmus","Doubleday","Historical Fiction","English","United States","Set in the 1950s, this novel follows Elizabeth Zott, a brilliant chemist who, after being fired from her lab, becomes the host of a popular TV cooking show, which she uses to teach science and challenge the era's social norms. (Note: While Garmus is American, this book has been a massive bestseller across Europe).","A runaway bestseller praised for its humor, its inspiring protagonist, and its sharp social commentary. Readers and critics loved the blend of comedy and drama and found Elizabeth Zott to be an iconic character. While some found the plot predictable, the overwhelming response was extremely positive."
"978-0241402927","The Song of Achilles","Madeline Miller","Bloomsbury Publishing","Historical Fiction","English","United States","A retelling of the story of Achilles and the Trojan War, from the perspective of his companion, Patroclus. It's a tale of love, friendship, and the devastating consequences of war. (Note: Miller is American, but this book has had a significant resurgence in popularity in Europe in recent years).","Widely acclaimed for its beautiful prose, its emotional depth, and its powerful love story. It has been praised for making ancient Greek mythology accessible and deeply human. The book has a massive following and continues to be a bestseller."
"978-0241472593","Still Life","Sarah Winman","4th Estate","Historical Fiction","English","United Kingdom","In 1944 Italy, a young English soldier meets a middle-aged art historian, and their chance encounter shapes the rest of their lives. The novel is a celebration of love, art, and found family in the aftermath of war.","Praised for its warmth, its charming characters, and its beautiful descriptions of Florence. Critics described it as a life-affirming and joyful novel. Some reviewers found the plot to be meandering, but most were captivated by its optimistic tone and its celebration of human connection."
"978-1787332558","Prophet Song","Paul Lynch","Oneworld Publications","Dystopian Fiction","English","Ireland","In a dystopian near-future Ireland that is descending into totalitarianism, a mother of four must protect her family as her husband is taken by the secret police.","Winner of the 2023 Booker Prize, it has been praised for its claustrophobic and intense atmosphere, and its powerful depiction of a society's collapse. Lynch's prose style, with its long, breathless sentences, has been a key point of discussion among critics, who find it both immersive and challenging."
"978-2070197514","Boussole","Mathias Énard","Actes Sud","Fiction","French","France","A novel that follows the sleepless night of a Viennese musicologist, Franz Ritter, as he reflects on his travels in the Middle East, his unrequited love for a French scholar, and the long history of cultural exchange between East and West.","Winner of the 2015 Prix Goncourt, it was acclaimed for its erudition, its lyrical prose, and its ambitious scope. Critics praised its dreamlike quality and its rich tapestry of historical and cultural references, though some found its dense, academic style demanding."
"978-3446252613","Widerfahrnis","Bodo Kirchhoff","Frankfurter Verlagsanstalt","Fiction","German","Germany","A novella about a recently retired publisher who impulsively embarks on a road trip to Sicily with a woman he has just met, a journey that becomes an exploration of love, loss, and the refugee crisis.","Winner of the 2016 German Book Prize, it was praised for its elegant prose and its timely engagement with contemporary issues. Critics admired its blend of personal and political themes, although some found the ending abrupt."
"978-8806227173","La scuola cattolica","Edoardo Albinati","Rizzoli","Fiction","Italian","Italy","A monumental novel that explores the intellectual and moral landscape of a generation of upper-class Roman men in the 1970s, culminating in the infamous Circeo massacre.","Winner of the 2016 Premio Strega, it was recognized for its ambitious scale and its incisive social commentary. Critics praised its psychological depth and its unflinching look at toxic masculinity, though its length and dense, essayistic style were noted as challenging."
"978-0241207188","The Sellout","Paul Beatty","Oneworld Publications","Satire","English","United States","A satirical novel about a young black man in a fictional Los Angeles neighborhood who tries to reinstate slavery and segregation in his local high school, leading to a Supreme Court case. (Note: Beatty is American, but the book won the UK's Booker Prize).","Winner of the 2016 Booker Prize, it was lauded for its audacious humor, its sharp satire, and its fearless exploration of race in America. Critics praised Beatty's incisive wit and his virtuosic use of language. The novel's controversial subject matter and its dense, comedic style were also widely discussed."
"978-0857522414","A Brief History of Seven Killings","Marlon James","Oneworld Publications","Historical Fiction","English","Jamaica","A multi-voiced novel that explores the attempted assassination of Bob Marley in 1976 and its aftermath, through a vast cast of characters including gangsters, journalists, CIA agents, and ghosts. (Note: James is Jamaican, but the book won the UK's Booker Prize).","Winner of the 2015 Booker Prize, it was hailed as a masterpiece for its epic scope, its linguistic inventiveness, and its powerful storytelling. Critics were impressed by its complex structure and its visceral portrayal of violence and politics. The use of Jamaican patois and the large number of characters were noted as potentially challenging for some readers."
"978-0008140411","The Essex Serpent","Sarah Perry","Serpent's Tail","Historical Fiction","English","United Kingdom","Set in Victorian England, a London widow moves to a small Essex village to investigate rumors of a mythical sea serpent, and forms an unlikely bond with the local pastor.","Widely praised for its rich atmosphere, its beautiful prose, and its intelligent exploration of faith, science, and love. Critics admired Perry's storytelling and her well-drawn characters. It was a major bestseller and award-winner in the UK."
"978-0241972077","Swing Time","Zadie Smith","Penguin Books","Fiction","English","United Kingdom","The story of two mixed-race girls who dream of being dancers, and their complex friendship that spans decades, continents, and their diverging paths in life.","Praised for Smith's sharp wit, her insightful observations on race, class, and culture, and her skillful storytelling. Critics admired the novel's ambitious scope and its exploration of identity and friendship. Some reviewers found the narrative to be sprawling at times."
"978-0241337905","Lanny","Max Porter","Faber & Faber","Fiction","English","United Kingdom","An experimental novel set in a small English village, it tells the story of a young boy, Lanny, through a collage of voices, including his parents, an eccentric artist, and an ancient mythical figure, Dead Papa Toothwort.","Praised for its linguistic inventiveness, its unique structure, and its magical, folkloric quality. Critics were impressed by Porter's experimental prose and his ability to create a vivid sense of place. The novel's unconventional format was a key point of discussion."
"978-1784703901","Autumn","Ali Smith","Hamish Hamilton","Fiction","English","United Kingdom (Scotland)","The first in her Seasonal Quartet, this novel is a post-Brexit meditation on time, art, love, and friendship, centered on the relationship between a young woman and an elderly man.","Praised for its lyrical prose, its playful use of language, and its timely engagement with contemporary politics. Smith's ability to blend the personal and the political was widely admired by critics. It was shortlisted for the Booker Prize and hailed as a work of profound beauty and intelligence."
"978-1787330912","Winter","Ali Smith","Hamish Hamilton","Fiction","English","United Kingdom (Scotland)","The second novel in the Seasonal Quartet, it follows a fractured family gathering for Christmas in a large house in Cornwall, and explores themes of love, loss, and the power of stories.","Like its predecessor, 'Winter' was praised for its witty and inventive prose, its sharp social commentary, and its warmth. Critics admired Smith's ability to find hope and humanity in difficult times. The quartet as a whole is seen as a significant literary achievement."
"978-1787330936","Spring","Ali Smith","Hamish Hamilton","Fiction","English","United Kingdom (Scotland)","The third novel in the Seasonal Quartet, it is a story about the migrant crisis, hope, and the possibility of connection in a divided world, centered on a TV director, a security guard, and a mysterious young girl.","Praised for its energy, its political urgency, and its hopeful tone. Smith's writing was described as both playful and profound. The novel was seen as a powerful response to the contemporary political climate."
"978-1787330950","Summer","Ali Smith","Hamish Hamilton","Fiction","English","United Kingdom (Scotland)","The final novel in the Seasonal Quartet, it brings together characters and themes from the previous books in a story set during the summer of 2020, amidst the pandemic and social unrest.","A fitting and powerful conclusion to the quartet, it was praised for its timeliness, its emotional resonance, and its celebration of art and human connection. Critics hailed the entire quartet as a landmark of contemporary British literature."
"978-1784706995","The Power","Naomi Alderman","Viking","Science Fiction","English","United Kingdom","In this novel, teenage girls suddenly develop the power to inflict agonizing pain and even death with a touch, leading to a dramatic shift in the global power balance between men and women.","Winner of the Baileys Women's Prize for Fiction, it was praised for its thrilling plot, its provocative premise, and its intelligent exploration of gender and power. Critics described it as a bold and thought-provoking work of speculative fiction."
"978-0241348116","Circe","Madeline Miller","Bloomsbury Publishing","Historical Fiction","English","United States","A retelling of the story of the Greek mythological figure Circe, from her own perspective, as she discovers her powers of witchcraft and forges her own path in a world of gods and mortals. (Note: Miller is American, but this book has been a massive success in Europe).","Praised for its lyrical prose, its compelling protagonist, and its feminist take on a classic myth. It was a huge international bestseller and has been lauded for making mythology accessible and emotionally resonant."
"978-0241351338","An American Marriage","Tayari Jones","Oneworld Publications","Fiction","English","United States","A novel about a young African-American couple whose lives are torn apart when the husband is wrongly convicted of a crime. It explores themes of love, loyalty, race, and injustice. (Note: Jones is American, but the book won the Women's Prize for Fiction, a major UK award).","Praised for its powerful storytelling, its complex characters, and its timely exploration of the American justice system. Critics described it as a heartbreaking and unforgettable novel. It was a major critical and commercial success."
"978-1787301323","Queenie","Candice Carty-Williams","Trapeze","Fiction","English","United Kingdom","The story of Queenie Jenkins, a young Black woman living in London, who is navigating a difficult breakup, a challenging job, and a complicated family history, while dealing with issues of race, identity, and mental health.","Praised for its humor, its honesty, and its relatable protagonist. It was lauded as a fresh and important voice in contemporary British fiction. The book was a huge bestseller and won numerous awards."
"978-1784162428","Eleanor Oliphant Is Completely Fine","Gail Honeyman","HarperCollins","Fiction","English","United Kingdom (Scotland)","The story of a socially awkward and lonely woman whose carefully curated life begins to change when she and a colleague save an elderly man who has fallen in the street.","A massive international bestseller, it was praised for its warmth, its humor, and its moving portrayal of loneliness and human connection. Eleanor Oliphant was hailed as an unforgettable character. The book was a word-of-mouth phenomenon."
"978-0241240437","Exit West","Mohsin Hamid","Hamish Hamilton","Fiction","English","Pakistan/United Kingdom","A love story about a young couple who flee their war-torn city through a series of magical doors that transport them to different locations around the world. It is a story about migration, identity, and finding home.","Shortlisted for the Booker Prize, it was praised for its magical realism, its beautiful prose, and its poignant and timely exploration of the refugee experience. Critics described it as a deeply moving and imaginative novel."
"978-0241303511","Home Fire","Kamila Shamsie","Bloomsbury Circus","Fiction","English","United Kingdom/Pakistan","A contemporary retelling of the Greek tragedy 'Antigone', it follows two British Muslim families whose lives become entangled when the son of one joins a terrorist group.","Winner of the Women's Prize for Fiction, it was praised for its suspenseful plot, its powerful characters, and its gripping exploration of love, loyalty, and politics. It was described as a timely and important novel that resonates with contemporary issues."
"978-1786076878","The Dutch House","Ann Patchett","Bloomsbury Publishing","Fiction","English","United States","A multi-generational story about a brother and sister who are exiled from their lavish childhood home, 'the Dutch House,' and the enduring bond they share over several decades. (Note: Patchett is American, but her work is very popular in Europe).","Praised for its elegant prose, its richly drawn characters, and its moving exploration of family, memory, and forgiveness. The novel's fairy-tale quality and its emotional depth were highlighted by critics. It was a finalist for the Pulitzer Prize for Fiction."
"978-1787330851","The Nickel Boys","Colson Whitehead","Fleet","Historical Fiction","English","United States","Based on a real-life reform school in Florida, this novel tells the story of two young black boys who are sent to the brutal Nickel Academy in the 1960s and their different approaches to survival. (Note: Whitehead is American, but this book had a significant impact in Europe and won the Pulitzer Prize).","Praised for its powerful and concise prose, its devastating story, and its important historical subject matter. Critics described it as a masterpiece of American fiction and a necessary read. It was a major award-winner and a critical success."
"978-1786074706","Milkman","Anna Burns","Faber & Faber","Fiction","English","United Kingdom (Northern Ireland)","Set in an unnamed city during the Troubles in Northern Ireland, the novel is narrated by an 18-year-old girl who is being stalked by an older, powerful paramilitary figure known as 'the milkman'.","Winner of the 2018 Booker Prize, it was praised for its unique and distinctive narrative voice, its dark humor, and its powerful depiction of life in a climate of fear and suspicion. The experimental prose style was a major talking point, with critics finding it both challenging and brilliant."
"978-0241982168","Lincoln in the Bardo","George Saunders","Bloomsbury Publishing","Historical Fiction","English","United States","An experimental novel that takes place over a single night in a graveyard where Abraham Lincoln has come to mourn his recently deceased son, Willie. The story is told through a chorus of ghosts. (Note: Saunders is American, but the book won the UK's Booker Prize).","Winner of the 2017 Booker Prize, it was praised for its originality, its emotional depth, and its profound exploration of grief and empathy. The novel's unique form, a blend of historical sources and fictional monologues, was lauded as groundbreaking."
"978-0571333127","Conversations with Friends","Sally Rooney","Faber & Faber","Fiction","English","Ireland","Sally Rooney's debut novel about two Dublin college students, Frances and Bobbi, and the complex, adulterous relationship they form with an older, married couple.","Praised for its sharp, witty dialogue, its intelligent and observant prose, and its realistic portrayal of millennial relationships. Critics hailed Rooney as a major new voice in fiction. The novel was a critical and commercial success."
"978-0241340172","Why I'm No Longer Talking to White People About Race","Reni Eddo-Lodge","Bloomsbury Circus","Non-Fiction","English","United Kingdom","A book that explores issues of race and racism in Britain, from historical context to contemporary manifestations of systemic racism.","A hugely influential and bestselling book that has been praised for its clarity, its incisiveness, and its importance in furthering the conversation about race in the UK. It was a landmark publication and a cultural phenomenon."
"978-1784706599","The Water Cure","Sophie Mackintosh","Hamish Hamilton","Dystopian Fiction","English","United Kingdom","A dystopian novel about three sisters who have been raised in isolation on an island by their parents, who have taught them that men are toxic and the outside world is to be feared.","Shortlisted for the Booker Prize, it was praised for its eerie, dreamlike atmosphere, its lyrical prose, and its unsettling exploration of female bodies, fear, and power. Critics described it as a haunting and original debut."
"978-1787332619","The Overstory","Richard Powers","William Heinemann","Fiction","English","United States","A sweeping, ambitious novel that interweaves the stories of several characters whose lives are connected to trees, and a powerful call to environmental consciousness. (Note: Powers is American, but this book had a huge impact and won the Pulitzer Prize, and was shortlisted for the Booker).","Praised for its masterful storytelling, its scientific depth, and its profound and passionate environmental message. It was described as a monumental and important work of fiction. The novel has been a major critical and commercial success."
"978-1787331810","Ducks, Newburyport","Lucy Ellmann","Galley Beggar Press","Fiction","English","United States/United Kingdom","An experimental novel written almost entirely as a single sentence, it is the stream-of-consciousness monologue of an Ohio housewife, touching on everything from family life to politics to environmental concerns.","Shortlisted for the Booker Prize, it was praised for its audacious form, its humor, and its virtuosic use of language. Critics were divided on its accessibility, but most recognized it as a major literary achievement. It is a challenging but rewarding read."
"978-1787332268","This is Going to Hurt: Secret Diaries of a Junior Doctor","Adam Kay","Picador","Non-Fiction/Memoir","English","United Kingdom","A memoir based on the diaries of a former junior doctor, it is a hilarious and heartbreaking account of life on the NHS frontline.","A massive bestseller in the UK, it was praised for its humor, its honesty, and its powerful advocacy for healthcare workers. It has been credited with opening up a national conversation about the state of the NHS."
"978-1786076595","The Anarchy: The East India Company, Corporate Violence, and the Pillage of an Empire","William Dalrymple","Bloomsbury Publishing","Non-Fiction/History","English","United Kingdom (Scotland)","A detailed history of the East India Company and its rise to power in India, from a small trading enterprise to a colonial ruler.","Praised for its meticulous research, its gripping narrative, and its timely subject matter. Dalrymple was lauded for bringing a complex and important period of history to life. It was a major work of historical non-fiction."
"978-0241353219","Underland: A Deep Time Journey","Robert Macfarlane","Hamish Hamilton","Non-Fiction/Nature Writing","English","United Kingdom","An exploration of the world beneath our feet, from caves and catacombs to nuclear waste bunkers. It is a book about geology, mythology, literature, and our relationship with the deep past and future.","Praised for its beautiful prose, its erudition, and its sense of wonder. Macfarlane is considered one of the finest nature writers of his generation, and this book was hailed as a masterpiece of the genre."
"978-1784742726","Sapiens: A Brief History of Humankind","Yuval Noah Harari","Harvill Secker","Non-Fiction/History","Hebrew","Israel","A sweeping history of humankind, from the Stone Age to the present day, that explores how Homo sapiens came to dominate the planet. (Note: Harari is Israeli, but this book has been a global publishing phenomenon, especially in Europe).","Praised for its ambitious scope, its accessible writing style, and its thought-provoking ideas. It has been a massive international bestseller and has been credited with making big historical and scientific ideas accessible to a general audience."
"978-0241334165","Educated","Tara Westover","Hutchinson","Non-Fiction/Memoir","English","United States","A memoir about a young woman who, raised in a survivalist family in rural Idaho, overcomes a lack of formal education to attend Cambridge University. (Note: Westover is American, but the book's connection to Cambridge and its immense popularity in Europe warrant inclusion).","A critically acclaimed and bestselling memoir, it was praised for its powerful story of resilience, its beautiful prose, and its exploration of the meaning of education. It was a word-of-mouth success and an inspirational read for many."
"978-1786077974","The Five: The Untold Lives of the Women Killed by Jack the Ripper","Hallie Rubenhold","Doubleday","Non-Fiction/History","English","United Kingdom","A historical account that focuses on the lives of the five 'canonical' victims of Jack the Ripper, challenging the long-held assumption that they were all prostitutes.","Winner of the Baileys Women's Prize for Non-Fiction, it was praised for its compassionate and meticulous research, and for giving a voice to women who have long been silenced by history. It was a groundbreaking work of social history."
"978-0241352489","Chernobyl: History of a Tragedy","Serhii Plokhy","Allen Lane","Non-Fiction/History","Ukrainian/English","Ukraine/United States","A comprehensive history of the Chernobyl nuclear disaster, from the events leading up to it to its long-term consequences.","Winner of the Baileys Gifford Prize for Non-Fiction, it was praised for its thorough research, its clear and compelling narrative, and its importance in understanding a pivotal moment in modern history. It is considered the definitive account of the Chernobyl disaster."
"978-1786077363","The Salt Path","Raynor Winn","Michael Joseph","Non-Fiction/Memoir","English","United Kingdom","A memoir about a couple who, after losing their home and receiving a terminal diagnosis, decide to walk the 630-mile South West Coast Path.","A bestselling and inspirational memoir, it was praised for its honesty, its resilience, and its beautiful descriptions of the natural world. It is a story about homelessness, hope, and the healing power of nature."
"978-1784163883","Becoming","Michelle Obama","Viking","Non-Fiction/Memoir","English","United States","The memoir of the former First Lady of the United States, chronicling her life from her childhood in Chicago to her years in the White House. (Note: Obama is American, but this was a global publishing event with enormous sales and impact in Europe).","A critically acclaimed and massively bestselling memoir, it was praised for its warmth, its honesty, and its inspirational message. It has been a cultural phenomenon and a source of inspiration for millions of readers."
"978-0241366530","The Boy, the Mole, the Fox and the Horse","Charlie Mackesy","Ebury Press","Fiction/Illustrated Book","English","United Kingdom","A series of illustrated conversations between four friends, exploring themes of love, friendship, kindness, and hope.","An international phenomenon and a bestseller that has been praised for its gentle wisdom, its beautiful illustrations, and its comforting message. It has been a source of solace and inspiration for readers of all ages."
"978-0241387511","Where the Crawdads Sing","Delia Owens","Corsair","Fiction","English","United States","A coming-of-age story about a young girl who grows up isolated in the marshes of North Carolina, and a murder mystery that unfolds in her small town. (Note: Owens is American, but this has been one of the biggest-selling books in Europe in recent years).","A massive global bestseller that has been praised for its atmospheric setting, its compelling protagonist, and its blend of nature writing, romance, and mystery. It has been a word-of-mouth sensation."
"978-0241988429","The Vanishing Half","Brit Bennett","Dialogue Books","Fiction","English","United States","The story of identical twin sisters who grow up in a small, southern black community and run away at age sixteen. One returns to her hometown with her black daughter, while the other secretly passes for white, and her white husband knows nothing of her past. (Note: Bennett is American, but this book was a major bestseller and critically acclaimed in Europe).","Praised for its compelling plot, its rich characters, and its insightful exploration of race, identity, and family secrets. It was a major literary success and a bestseller."
"978-0241989297","Piranesi","Susanna Clarke","Bloomsbury Publishing","Fantasy","English","United Kingdom","A novel set in a strange, labyrinthine house with an ocean imprisoned within its walls. The story is told through the journal entries of the house's lone inhabitant, Piranesi.","Praised for its unique and imaginative world-building, its beautiful prose, and its mysterious and compelling plot. It was a critically acclaimed and award-winning work of fantasy."
"978-1529013085","Hamnet & Judith","Maggie O'Farrell","Tinder Press","Historical Fiction","English","United Kingdom (Northern Ireland)","A paperback edition of Hamnet. A fictionalized account of the life of William Shakespeare's son, Hamnet, who died at the age of eleven, and the profound impact of his death on his family, particularly his wife, Agnes, and the writing of the play 'Hamlet'.","Critically acclaimed for its beautiful prose, emotional depth, and imaginative storytelling. O'Farrell's portrayal of Agnes and the depiction of grief were particularly praised. It was lauded as a stunning and heartbreaking work of historical fiction."
"978-1529062335","The Last Devil to Die","Richard Osman","Viking","Cozy Mystery","English","United Kingdom","The fourth book in the Thursday Murder Club series, in which the gang investigates the murder of an old friend and the disappearance of a dangerous package.","Another bestseller in the series, praised for its humor, its clever plotting, and its heartwarming characters. Osman's ability to blend comedy, mystery, and pathos was once again lauded by critics and readers."
"978-0241594951","The Man Who Died Twice","Richard Osman","Viking","Cozy Mystery","English","United Kingdom","The second book in the Thursday Murder Club series, where Elizabeth's ex-husband, a former spy, gets them involved in a case of stolen diamonds and a growing body count.","Praised for being just as funny and charming as the first book. The plot was considered clever and entertaining, and the characters continue to be a major draw for readers."
"978-0241594975","The Bullet That Missed","Richard Osman","Viking","Cozy Mystery","English","United Kingdom","The third installment of the Thursday Murder Club series finds the group investigating a decade-old cold case involving a murdered journalist, while Elizabeth is confronted by a ghost from her past.","Continued the series' success with positive reviews for its wit, warmth, and engaging mystery. The character development, particularly for Elizabeth, was noted as a highlight."
"978-1529157502","A Good Girl's Guide to Murder","Holly Jackson","Electric Monkey","Young Adult Thriller","English","United Kingdom","A high school student decides to re-investigate a closed murder case for her final year project, and uncovers dark secrets in her small town.","A hugely popular YA thriller, praised for its clever plot, its engaging protagonist, and its suspenseful twists. It has a massive following among young readers and has been a bestseller in its category."
"978-0241472593","Heartstopper Volume One","Alice Oseman","Hodder Children's Books","Young Adult Graphic Novel","English","United Kingdom","The beginning of the story of two British teenage boys, Charlie and Nick, who meet at an all-boys grammar school and fall in love.","Praised for its sweet and heartwarming portrayal of a queer teenage romance. The art style and the realistic depiction of teenage life have been widely admired. The series has become a cultural phenomenon, especially after its successful Netflix adaptation."
